fecha,precio_promedio_bolsa_energia
2003-01-01,60.135476086956515
2003-01-02,62.44373695652173
2003-01-03,63.53547608695651
2003-01-04,63.59199782608695
2003-01-05,63.66156304347825
2003-01-06,63.978954347826075
2003-01-07,65.90069347826085
2003-01-08,64.80504130434781
2003-01-09,67.13938913043478
2003-01-10,67.39547608695652
2003-01-11,66.43112826086956
2003-01-12,67.30938913043478
2003-01-13,67.12730217391304
2003-01-14,66.19330217391304
2003-01-15,67.59482391304347
2003-01-16,66.48156304347826
2003-01-17,69.46591086956519
2003-01-18,70.60417173913042
2003-01-19,73.27034565217389
2003-01-20,73.26604130434782
2003-01-21,74.04656304347826
2003-01-22,74.07908478260869
2003-01-23,73.60504130434784
2003-01-24,73.3651717391304
2003-01-25,73.32651956521738
2003-01-26,72.7763456521739
2003-01-27,73.25282391304346
2003-01-28,74.59204130434782
2003-01-29,73.77025869565215
2003-01-30,74.94204130434782
2003-01-31,75.81821521739128
2003-02-01,77.12065739130432
2003-02-02,76.72848347826084
2003-02-03,76.15761391304349
2003-02-04,77.12500521739129
2003-02-05,76.14435304347825
2003-02-06,76.56944
2003-02-07,76.08439652173912
2003-02-08,76.08400521739128
2003-02-09,74.3468313043478
2003-02-10,73.01152695652172
2003-02-11,72.07717913043479
2003-02-12,71.6058747826087
2003-02-13,72.02891826086957
2003-02-14,63.26291826086954
2003-02-15,68.67174434782609
2003-02-16,68.06978782608694
2003-02-17,69.73587478260866
2003-02-18,68.11196173913041
2003-02-19,67.68152695652172
2003-02-20,68.37717913043477
2003-02-21,72.08591826086953
2003-02-22,70.21152695652172
2003-02-23,70.29030956521737
2003-02-24,73.23804869565217
2003-02-25,72.08109217391305
2003-02-26,69.16413565217393
2003-02-27,70.9728313043478
2003-02-28,70.78587478260869
2003-03-01,70.66675130434781
2003-03-02,71.00109913043475
2003-03-03,68.34457739130434
2003-03-04,69.01849043478256
2003-03-05,67.33370782608695
2003-03-06,71.04905565217393
2003-03-07,68.71022956521738
2003-03-08,71.79301217391307
2003-03-09,70.53722956521737
2003-03-10,74.7690556521739
2003-03-11,74.59066434782606
2003-03-12,77.92992521739133
2003-03-13,79.28853391304345
2003-03-14,80.11675130434779
2003-03-15,85.9707947826087
2003-03-16,85.91866434782607
2003-03-17,81.34935999999996
2003-03-18,84.04935999999996
2003-03-19,83.845012173913
2003-03-20,76.74653391304346
2003-03-21,81.91544695652172
2003-03-22,79.75805565217387
2003-03-23,78.23849043478258
2003-03-24,78.33935999999996
2003-03-25,78.30370782608695
2003-03-26,79.97240347826084
2003-03-27,78.63675130434781
2003-03-28,78.59562086956525
2003-03-29,77.97544695652171
2003-03-30,78.35805565217389
2003-03-31,82.57109913043475
2003-04-01,81.83838260869568
2003-04-02,79.8644695652174
2003-04-03,84.30360000000002
2003-04-04,82.46881739130436
2003-04-05,84.14286086956521
2003-04-06,81.65568695652173
2003-04-07,82.16881739130434
2003-04-08,82.69055652173913
2003-04-09,84.51055652173913
2003-04-10,86.73838260869566
2003-04-11,86.15794782608695
2003-04-12,88.8166434782609
2003-04-13,88.0036
2003-04-14,80.7644695652174
2003-04-15,77.04273043478261
2003-04-16,79.50577391304348
2003-04-17,76.63838260869565
2003-04-18,78.37490434782609
2003-04-19,79.72142608695653
2003-04-20,79.93838260869568
2003-04-21,78.9649043478261
2003-04-22,79.60577391304348
2003-04-23,77.74555652173912
2003-04-24,75.11329565217389
2003-04-25,74.05612173913043
2003-04-26,76.22190434782607
2003-04-27,75.41229565217391
2003-04-28,75.28220869565216
2003-04-29,75.61681739130435
2003-04-30,74.79733913043479
2003-05-01,76.45424782608696
2003-05-02,78.04155217391303
2003-05-03,79.33685652173911
2003-05-04,79.38037826086955
2003-05-05,78.38685652173912
2003-05-06,78.45107391304349
2003-05-07,76.9977260869565
2003-05-08,78.32868260869563
2003-05-09,77.29337826086955
2003-05-10,80.81511739130434
2003-05-11,79.16642173913041
2003-05-12,78.03642173913045
2003-05-13,79.14120434782608
2003-05-14,75.10216086956525
2003-05-15,74.09350869565218
2003-05-16,73.37598695652173
2003-05-17,72.26163913043477
2003-05-18,70.83990000000001
2003-05-19,68.70163913043478
2003-05-20,66.83598695652174
2003-05-21,64.26294347826088
2003-05-22,63.14120434782609
2003-05-23,58.87598695652175
2003-05-24,61.089030434782615
2003-05-25,59.21946521739131
2003-05-26,54.41511739130435
2003-05-27,53.349900000000005
2003-05-28,60.945552173913036
2003-05-29,52.02337826086957
2003-05-30,52.52381304347826
2003-05-31,56.93685652173913
2003-06-01,54.92787782608696
2003-06-02,56.05831260869566
2003-06-03,55.253530000000005
2003-06-04,58.92744304347826
2003-06-05,57.26700826086957
2003-06-06,65.88439956521741
2003-06-07,68.91048652173914
2003-06-08,71.27426913043482
2003-06-09,68.11422565217393
2003-06-10,67.24657347826088
2003-06-11,66.10135608695654
2003-06-12,64.90570391304348
2003-06-13,67.24587782608698
2003-06-14,74.28448652173914
2003-06-15,71.12266043478262
2003-06-16,65.69700826086954
2003-06-17,66.93657347826088
2003-06-18,70.95357347826088
2003-06-19,74.2317039130435
2003-06-20,69.74526913043479
2003-06-21,64.79744304347828
2003-06-22,62.09309521739133
2003-06-23,63.58874739130435
2003-06-24,61.88135608695653
2003-06-25,63.11918217391305
2003-06-26,63.60613869565218
2003-06-27,63.38874739130435
2003-06-28,62.13222565217393
2003-06-29,62.235269130434794
2003-06-30,63.606138695652184
2003-07-01,64.23217695652173
2003-07-02,66.84522043478259
2003-07-03,66.72304652173911
2003-07-04,64.43217695652174
